
2026/03/14 (22:10:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/14 (22:10:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/14 (22:10:13) | DEBUG: Shared::init() : Initialized.
2026/03/14 (22:10:13) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/14 (22:10:37) | ===> btop++ v.1.4.6
2026/03/14 (22:10:37) | INFO: Logger set to DEBUG
2026/03/14 (22:10:37) | DEBUG: Using locale C
2026/03/14 (22:10:37) | INFO: Running on /dev/pts/4
2026/03/14 (22:10:37) | DEBUG: TTY mode enabled: false
2026/03/14 (22:10:37) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/14 (22:10:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/14 (22:10:37) | DEBUG: Shared::init() : Initialized.
2026/03/14 (22:10:37) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/15 (00:00:07) | ===> btop++ v.1.4.6
2026/03/15 (00:00:07) | INFO: Logger set to DEBUG
2026/03/15 (00:00:07) | DEBUG: Using locale C
2026/03/15 (00:00:07) | INFO: Running on /dev/pts/0
2026/03/15 (00:00:07) | DEBUG: TTY mode enabled: false
2026/03/15 (00:00:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/15 (00:00:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/15 (00:00:07) | DEBUG: Shared::init() : Initialized.
2026/03/15 (00:00:07) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/15 (12:18:55) | ===> btop++ v.1.4.6
2026/03/15 (12:18:55) | INFO: Logger set to DEBUG
2026/03/15 (12:18:55) | DEBUG: Using locale C
2026/03/15 (12:18:55) | INFO: Running on /dev/pts/1
2026/03/15 (12:18:55) | DEBUG: TTY mode enabled: false
2026/03/15 (12:18:55) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/15 (12:18:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/15 (12:18:55) | DEBUG: Shared::init() : Initialized.
2026/03/15 (12:18:55) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...
